Time (milliseconds),ax,ay,az,light,mx,my,mz,sound,temp
32273,-688,-176,-804,0,87.15,35.1,53.7,82,29
32308,-268,-188,-1876,0,78.6,0.15,76.65,78,29
32457,-40,-216,-1400,0,83.7,-21.45,115.5,37,29
32514,-424,-388,-896,9,84.3,17.4,105.45,33,29
32664,-396,-84,-872,38,92.1,-4.8,103.65,45,29
32826,-404,100,-960,5,95.7,-24.3,99,116,29
32858,-792,-324,-304,143,70.95,16.95,64.05,101,29
33010,-164,-384,-580,84,61.5,12.45,47.25,37,29
33171,300,-556,-568,163,33.9,38.85,55.5,101,29
33223,224,-520,-1552,137,19.35,-39.3,52.2,41,29
33379,648,-696,-1244,80,-17.85,-56.25,79.05,22,29
33422,-188,-608,-1484,65,-10.95,-38.4,79.5,33,29
33586,96,-564,-1124,50,-1.65,-25.65,69.45,33,29
33862,-960,-600,-520,170,55.65,33.6,-0.6,71,29
33902,-364,-576,216,156,54.9,26.7,-14.25,60,29
34070,-880,-252,424,187,57.15,12.75,-23.25,78,29
34164,-744,-484,-1948,182,52.2,-10.05,-29.55,93,29
34324,80,304,-652,77,102.6,-82.95,-14.85,101,29
34485,-848,876,-652,168,96.6,-105.75,-12.3,41,29
34538,-872,436,-544,152,93.45,-106.05,-9.75,63,29
34692,-624,-244,-552,184,93.3,-102.45,-5.4,90,29
34758,-1008,-96,-756,169,91.8,-95.4,3.45,75,29
34923,-732,-24,-756,154,92.4,-97.05,7.35,108,29
35153,-808,1092,-468,163,112.95,-111.45,13.05,71,29
35202,-796,972,-592,148,111.9,-119.4,4.05,86,29
35360,-628,640,-84,180,112.05,-125.25,-8.1,15,29
35521,-568,504,-128,203,104.7,-145.05,-39.6,18,29
35554,-564,884,288,188,91.8,-154.8,-45.3,26,29
35706,-400,1376,136,173,81.45,-161.85,-45,26,29
35936,-140,1132,200,207,87,-163.05,-35.25,11,29
35986,-372,884,-92,194,91.35,-159.6,-37.8,75,29
36146,-416,912,-136,180,91.8,-158.85,-43.35,33,29
36186,-472,920,364,166,94.35,-150.75,-28.35,71,29
36351,-452,1168,476,197,91.95,-151.05,-24.45,18,29
36558,-372,912,96,167,86.85,-151.5,-34.95,7,29
36594,-60,956,368,199,91.35,-150.6,-31.05,7,29
