Time (seconds),X_accel,Y_accel,Z_accel,X_mag,Y_mag,Z_mag,light,sound,temp
8.82,-32,368,-944,43.95,95.85,4.05,121,33,24
8.87,-32,352,-944,44.1,95.7,3.15,126,37,24
8.89,-32,368,-960,44.55,96,2.85,121,67,24
8.92,-32,368,-944,44.55,95.7,3,121,71,24
8.94,-48,368,-960,43.65,94.95,3,121,60,24
8.97,-48,384,-928,43.2,94.95,2.85,120,48,24
8.99,-32,368,-960,43.5,95.4,3.15,121,45,24
9.04,-32,368,-928,43.65,95.1,2.55,121,56,24
9.06,-32,352,-960,44.25,95.1,2.55,121,60,24
9.08,-32,336,-944,44.1,96.45,3.45,121,45,24
9.11,-32,368,-944,44.7,95.25,3.6,121,48,24
9.14,-48,384,-960,43.65,94.65,2.4,121,37,24
9.16,-48,368,-944,44.85,95.1,1.8,121,52,24
9.37,-32,368,-944,44.4,94.95,2.85,122,41,24
9.40,-32,368,-944,44.1,95.25,3.75,121,30,24
9.42,-32,384,-960,43.95,95.25,2.55,120,48,24
9.44,-32,384,-928,44.55,95.25,3.3,121,37,24
9.47,-16,384,-944,44.4,96,3.9,121,37,24
9.49,-32,384,-960,43.95,94.5,2.7,121,45,24
9.54,-32,384,-960,44.4,95.85,3.15,126,41,24
9.56,-32,384,-944,44.55,95.25,2.4,125,48,24
9.59,-48,368,-960,43.5,94.95,3.6,125,45,24
9.61,-16,368,-976,44.4,94.5,3.3,120,48,24
9.64,-48,384,-944,43.65,94.8,3.15,120,48,24
9.66,-32,384,-960,44.55,95.7,2.85,120,52,24
9.70,-32,368,-944,45,95.1,2.85,120,45,24
9.73,-48,384,-960,43.65,94.95,3.45,121,41,24
9.75,-48,384,-960,43.65,95.1,3.3,120,33,24
9.78,-16,384,-960,44.1,95.7,2.4,121,15,24
9.80,-32,384,-960,43.65,95.55,2.1,121,30,24
9.82,-48,368,-960,44.4,95.4,3.45,120,30,24
9.87,-32,384,-944,43.95,95.1,3.45,120,22,24
9.89,-48,384,-960,44.25,95.25,2.55,121,26,24
9.92,-48,352,-928,44.4,95.4,2.85,120,7,24
9.94,-16,384,-944,45,94.95,2.25,121,11,24
9.97,-32,352,-944,44.4,95.85,2.4,120,18,24
9.99,-32,368,-960,43.65,94.95,2.55,121,18,24
10.04,-48,352,-944,44.7,95.55,3.3,120,26,24
10.06,-32,352,-944,43.8,95.85,2.25,120,22,24
10.08,-48,352,-944,43.2,95.1,2.85,120,22,24
10.11,-48,368,-944,44.7,94.95,3.3,120,22,24
10.13,-32,368,-960,44.25,95.1,2.7,120,15,24
10.16,-48,384,-944,44.85,95.1,2.7,121,18,24
10.20,-32,368,-944,44.1,95.25,2.7,120,22,24
10.22,-48,400,-944,44.4,94.65,2.4,121,30,24
10.25,-48,384,-960,43.5,94.65,3,120,30,24
10.27,-64,368,-944,44.25,95.55,3,120,33,24
10.30,-48,352,-960,43.5,95.4,2.7,120,45,24
10.32,-32,368,-944,45.15,95.85,3.3,120,52,24
10.37,-16,384,-960,43.2,95.85,2.7,120,75,24
10.39,-32,352,-944,44.25,96.6,3,125,78,24
10.42,-48,368,-976,43.65,94.5,3,124,45,24
10.44,-32,368,-976,43.95,95.4,3.45,121,33,24
10.46,-32,368,-960,43.65,95.55,3.15,120,33,24
10.50,-32,368,-960,43.65,94.95,3.6,120,30,24
10.53,-32,384,-944,43.8,95.1,2.55,120,71,24
10.56,-48,352,-944,43.65,94.35,3.15,120,45,24
10.58,-32,368,-944,44.1,94.5,3.15,121,45,24
10.60,-16,368,-960,44.1,94.95,3.6,121,33,24
10.63,-32,368,-944,43.8,94.35,3,121,63,24
10.68,-32,384,-960,44.55,95.1,3.3,121,60,24
10.70,-32,384,-976,43.95,95.7,3.3,120,63,24
10.73,-32,352,-944,44.7,94.95,3.15,121,56,24
10.76,-48,368,-960,43.95,94.95,2.85,126,63,24
10.78,-32,368,-960,44.25,95.85,3,120,63,24
10.80,-32,368,-960,43.65,94.35,3.75,121,71,24
10.85,-48,368,-944,44.25,94.95,3.45,122,75,24
10.87,-32,384,-944,43.65,94.8,2.85,120,63,24
10.90,-32,368,-960,44.85,95.1,2.85,121,52,24
10.92,-48,352,-960,43.8,95.25,3.15,124,45,24
10.94,-32,368,-944,44.1,95.85,2.7,125,48,24
10.97,-16,368,-944,44.4,95.55,2.7,121,75,24
11.01,-48,384,-944,44.1,95.4,3.15,121,63,24
11.04,-48,368,-960,44.1,95.55,1.95,120,78,24
11.06,-16,368,-944,43.65,94.65,2.4,121,48,24
11.08,-32,368,-960,44.85,96.15,3.6,121,41,24
11.11,-32,352,-944,43.95,95.4,2.85,120,52,24
11.16,-32,384,-960,44.7,94.65,3.15,120,78,24
11.18,-32,368,-960,43.65,94.65,3.15,120,63,24
11.21,-16,368,-944,43.65,95.4,3.6,120,56,24
11.23,-32,368,-944,44.4,95.1,2.25,120,60,24
11.26,-32,368,-960,45,94.35,2.85,121,63,24
11.28,-32,352,-944,43.35,94.95,3.9,120,67,24
11.32,-32,352,-960,42.9,95.85,3,121,60,24
11.35,-32,384,-944,44.4,95.4,2.25,121,60,24
11.37,-64,384,-960,44.1,95.85,3,120,52,24
11.40,-48,352,-976,43.35,94.35,3,125,52,24
11.42,-48,368,-944,43.95,94.35,2.25,121,45,24
11.44,-32,384,-944,45,96,3,120,56,24
11.49,-32,368,-960,44.25,95.25,2.7,120,48,24
11.51,-32,352,-960,43.8,94.2,1.8,121,63,24
11.54,-32,368,-944,44.25,94.8,3,121,67,24
11.56,-48,368,-768,44.1,95.4,2.55,121,63,24
11.59,-64,448,-896,44.4,95.1,2.7,120,56,24
11.61,-32,336,-960,43.65,95.1,2.4,121,56,24
11.66,-32,352,-944,44.55,94.65,2.4,121,52,24
11.68,-16,352,-944,44.4,94.65,1.35,121,48,24
11.71,-48,352,-944,44.25,94.5,1.65,121,56,24
11.73,-48,336,-944,45,94.65,2.55,120,56,24
11.76,-32,368,-928,44.4,94.95,2.25,121,105,24
11.78,-16,384,-944,44.25,93.9,2.4,120,90,24
11.82,-32,352,-944,44.7,94.35,2.1,120,48,24
11.85,-16,368,-944,44.25,94.65,2.1,121,45,24
11.87,-32,352,-928,44.25,94.5,1.95,120,37,24
11.90,-48,384,-960,44.4,95.1,2.1,120,37,24
11.92,-16,368,-928,44.7,94.95,2.7,121,37,24
11.95,-32,368,-960,44.25,94.65,2.4,121,30,24
12.16,-48,352,-960,43.5,94.8,2.7,120,30,24
12.18,-32,384,-976,44.25,94.05,3,120,11,24
12.21,-48,368,-960,44.85,94.35,2.25,121,33,24
12.23,-32,368,-960,44.4,94.05,1.95,120,37,24
12.26,-32,368,-960,44.4,95.25,2.25,121,45,24
12.30,-48,368,-960,43.95,94.65,1.8,126,48,24
12.32,-32,400,-928,43.65,94.2,1.8,124,45,24
12.35,-48,384,-944,44.25,95.25,2.1,120,26,24
12.37,-48,368,-944,44.1,94.5,2.1,121,30,24
12.40,-16,352,-944,43.35,94.65,1.95,120,22,24
12.42,-32,368,-960,44.25,94.8,1.65,121,30,24
12.46,-48,352,-944,43.2,94.8,1.95,120,22,24
12.49,-32,352,-960,43.05,94.95,2.1,121,33,24
12.51,-48,368,-960,44.85,95.7,1.8,120,37,24
